,Model,Position,Weight,Pressure,Temperature
512,MPL,5,0,140562.00, 22.12
513,MPL,5,0,140565.00, 22.12
514,MPL,5,0,140560.75, 22.12
515,MPL,5,0,140561.50, 22.12
516,MPL,5,0,140561.75, 22.12
517,MPL,5,0,140562.50, 22.12
518,MPL,5,0,140562.75, 22.12
519,MPL,5,0,140564.25, 22.12
520,MPL,5,0,140564.25, 22.12
521,MPL,5,0,140566.00, 22.12
522,MPL,5,0,140566.00, 22.12
523,MPL,5,0,140566.50, 22.12
524,MPL,5,0,140565.50, 22.12
525,MPL,5,0,140565.25, 22.12
526,MPL,5,0,140565.50, 22.12
527,MPL,5,0,140567.50, 22.12
528,MPL,5,0,140568.25, 22.12
529,MPL,5,0,140569.25, 22.19
530,MPL,5,0,140572.50, 22.12
531,MPL,5,0,140570.25, 22.12
532,MPL,5,0,140566.50, 22.19
533,MPL,5,0,140571.75, 22.12
534,MPL,5,0,140569.50, 22.12
535,MPL,5,0,140568.75, 22.12
536,MPL,5,0,140569.75, 22.12
537,MPL,5,0,140568.50, 22.12
538,MPL,5,0,140568.25, 22.19
539,MPL,5,0,140574.25, 22.19
540,MPL,5,0,140572.50, 22.12
541,MPL,5,0,140570.25, 22.19
542,MPL,5,0,140572.50, 22.19
543,MPL,5,0,140579.25, 22.12
544,MPL,5,0,140570.75, 22.19
545,MPL,5,0,140573.50, 22.19
546,MPL,5,0,140573.25, 22.19
547,MPL,5,0,140573.00, 22.19
548,MPL,5,0,140571.75, 22.19
549,MPL,5,0,140572.00, 22.19
550,MPL,5,0,140571.25, 22.19
551,MPL,5,0,140574.50, 22.19
552,MPL,5,0,140574.75, 22.19
553,MPL,5,0,140573.50, 22.19
554,MPL,5,0,140573.25, 22.19
555,MPL,5,0,140573.50, 22.19
556,MPL,5,0,140575.50, 22.19
557,MPL,5,0,140572.00, 22.12
558,MPL,5,0,140569.00, 22.12
559,MPL,5,0,140569.50, 22.19
560,MPL,5,0,140573.00, 22.19
561,MPL,5,0,140574.50, 22.19
562,MPL,5,0,140571.25, 22.19
563,MPL,5,0,140573.75, 22.19
564,MPL,5,0,140574.25, 22.19
565,MPL,5,0,140576.25, 22.19
566,MPL,5,0,140572.25, 22.19
567,MPL,5,0,140573.25, 22.19
568,MPL,5,0,140574.75, 22.19
569,MPL,5,0,140576.50, 22.19
570,MPL,5,0,140573.50, 22.19
571,MPL,5,0,140577.00, 22.19
572,MPL,5,0,140574.00, 22.19
573,MPL,5,0,140575.75, 22.19
574,MPL,5,0,140571.75, 22.19
575,MPL,5,0,140574.75, 22.19
576,MPL,5,0,140576.25, 22.19
577,MPL,5,0,140577.00, 22.12
578,MPL,5,0,140569.50, 22.19
579,MPL,5,0,140574.25, 22.19
580,MPL,5,0,140575.75, 22.19
581,MPL,5,0,140582.75, 22.19
582,MPL,5,0,140572.25, 22.19
583,MPL,5,0,140579.50, 22.19
584,MPL,5,0,140578.00, 22.19
585,MPL,5,0,140576.25, 22.19
586,MPL,5,0,140580.00, 22.19
587,MPL,5,0,140574.00, 22.19
588,MPL,5,0,140573.75, 22.19
589,MPL,5,0,140575.25, 22.19
590,MPL,5,0,140576.75, 22.19
591,MPL,5,0,140574.25, 22.19
592,MPL,5,0,140580.75, 22.19
593,MPL,5,0,140577.25, 22.19
594,MPL,5,0,140577.75, 22.19
595,MPL,5,0,140581.75, 22.19
596,MPL,5,0,140579.75, 22.19
597,MPL,5,0,140574.75, 22.19
598,MPL,5,0,140575.50, 22.19
599,MPL,5,0,140576.75, 22.19
600,MPL,10,0,140578.50, 22.19
601,MPL,10,0,140578.50, 21.75
602,MPL,10,0,140454.75, 21.81
603,MPL,10,0,140473.50, 21.87
604,MPL,10,0,140484.75, 21.87
605,MPL,10,0,140488.75, 21.87
606,MPL,10,0,140490.50, 21.94
607,MPL,10,0,140495.75, 21.94
608,MPL,10,0,140496.25, 21.94
609,MPL,10,0,140501.25, 21.94
610,MPL,10,0,140500.25, 21.94
611,MPL,10,0,140501.75, 21.94
612,MPL,10,0,140501.00, 21.94
613,MPL,10,0,140504.25, 21.94
614,MPL,10,0,140503.25, 21.94
615,MPL,10,0,140503.25, 21.94
616,MPL,10,0,140505.00, 21.94
617,MPL,10,0,140507.25, 21.94
618,MPL,10,0,140508.50, 21.94
619,MPL,10,0,140510.25, 21.94
620,MPL,10,0,140511.00, 21.94
621,MPL,10,0,140510.00, 21.94
622,MPL,10,0,140510.50, 22.00
623,MPL,10,0,140514.25, 21.94
624,MPL,10,0,140513.75, 21.94
625,MPL,10,0,140513.50, 22.00
626,MPL,10,0,140516.75, 21.94
627,MPL,10,0,140513.50, 21.94
628,MPL,10,0,140513.25, 22.00
629,MPL,10,0,140514.50, 22.00
630,MPL,10,0,140516.25, 22.00
631,MPL,10,0,140516.25, 22.00
632,MPL,10,0,140519.00, 22.00
633,MPL,10,0,140518.75, 22.00
634,MPL,10,0,140518.75, 22.00
635,MPL,10,0,140517.75, 21.94
636,MPL,10,0,140513.25, 22.00
637,MPL,10,0,140523.50, 22.00
638,MPL,10,0,140518.50, 22.00
639,MPL,10,0,140520.50, 22.00
640,MPL,10,0,140519.25, 22.00
641,MPL,10,0,140521.00, 22.00
642,MPL,10,0,140516.00, 22.00
643,MPL,10,0,140522.00, 22.00
644,MPL,10,0,140521.25, 22.00
645,MPL,10,0,140526.00, 22.00
646,MPL,10,0,140522.75, 22.00
647,MPL,10,0,140525.75, 22.00
648,MPL,10,0,140522.00, 22.00
649,MPL,10,0,140521.25, 22.00
650,MPL,10,0,140521.00, 22.00
651,MPL,10,0,140525.50, 22.00
652,MPL,10,0,140521.50, 22.00
